RamanShift,y_exp,LTA_fit
448.0,0.03610963101012584,0.21541677486693092
449.0,0.028235887560152877,0.2248708631038799
450.0,0.06107739800555368,0.24103563928770058
451.0,0.09065858734700358,0.2323418465464109
452.0,0.06256532809191225,0.22141431643164794
453.0,0.04515536723805925,0.210486786316885
454.0,0.05464155507205022,0.199559256202122
455.0,0.05271444314793788,0.18863172608735904
456.0,0.037702040080756574,0.17770419597259607
457.0,0.05870501502681623,0.16677666585783313
458.0,0.09925924318699064,0.15910223968516962
459.0,0.10902072835495981,0.16850660920852545
460.0,0.11267568051922332,0.17791097873188125
461.0,0.126445526204764,0.18731534825523707
462.0,0.12488183063735467,0.1967197177785929
463.0,0.06161819768584441,0.2061240873019487
464.0,0.029365440444004368,0.21552845682530447
465.0,0.04684962147122688,0.2249328263486603
466.0,0.08662159693544805,0.2361281237777128
467.0,0.14322626201413066,0.23964816063451275
468.0,0.1482283126429235,0.22943298380397734
469.0,0.1365825531504917,0.21921780697344195
470.0,0.12654531672840852,0.20900263014290654
471.0,0.10939086256977898,0.19878745331237113
472.0,0.044307438124473936,0.18857227648183575
473.0,0.02291732737368555,0.17835709965130034
474.0,0.09470877551870517,0.17821400676879798
475.0,0.11345585982570784,0.1837364611070645
476.0,0.08088945454476384,0.1965530343666302
477.0,0.1090381291137484,0.21249565859246722
478.0,0.16345066721864737,0.2284382828183042
479.0,0.1313963872785805,0.2443809070441412
480.0,0.09329508707200075,0.26032353126997815
481.0,0.11079269284141749,0.2762661554958151
482.0,0.1117309936589716,0.2967731407479375
483.0,0.06820559872943519,0.3179025388672806
484.0,0.04912937374662388,0.3390319369866237
485.0,0.05831633204228849,0.3549793057502407
486.0,0.051302658413674915,0.3707664055647118
487.0,0.03582961506906836,0.38655350537918276
488.0,0.05548446548597129,0.40234060519365383
489.0,0.0781225530104691,0.4107776199577579
490.0,0.03372388999178786,0.36531401101917316
491.0,0.020129722044171752,0.31985040208058846
492.0,0.10385353925764182,0.27438679314200376
493.0,0.11451102412655946,0.23038571696734614
494.0,0.030755859058561097,0.1910159945451241
495.0,0.027908119287079515,0.15164627212290202
496.0,0.07201151070149762,0.11227654970067999
497.0,0.06636567386059088,0.08474484167906787
498.0,0.05292190954551413,0.07825849259187202
499.0,0.12302299617530144,0.0717721435046762
500.0,0.16702234451738618,0.06528579441748038
501.0,0.1218267411565726,0.058799445330284535
502.0,0.11922854136021019,0.052755148149505195
503.0,0.17412025465843228,0.04713556750626325
504.0,0.19553874208658592,0.041515986863021305
505.0,0.19691533393164817,0.03839276591680946
506.0,0.14121041884721555,0.03693378476861753
507.0,0.07507996962300435,0.03547480362042559
508.0,0.06578594645237454,0.03401582247223365
509.0,0.05959285516302226,0.03255684132404171
510.0,0.06382843785888417,0.03109786017584978
511.0,0.08423902948192143,0.030335170239103735
512.0,0.12593614626685698,0.029768870131227015
513.0,0.13266694105978272,0.030188550353687123
514.0,0.11930150907490017,0.030796036353354202
515.0,0.1022950987814949,0.03140352235302128
516.0,0.0871776666460272,0.032011008352688365
517.0,0.12889629369254976,0.03261849435235544
518.0,0.1608490400600106,0.033225980352022524
519.0,0.16331846202230227,0.033911357418765935
