Dataset,RamanShift,Intensity,Intensity_norm
Glycerol-Phosphate,3693.12,0.03867826,0.0006565655688612086
D-Alanine,207.35999999999999,0.7832826932,0.03337219157429109
D-Alanine,215.04,3.1734673233,0.13520732730000315
D-Alanine,222.72,8.6434992694,0.3682610582294707
D-Alanine,230.39999999999998,1.540491768,0.06563350224206688
D-Alanine,238.07999999999998,0.7150412254,0.030464726164288827
D-Alanine,245.76,0.5596203202,0.02384293269430368
D-Alanine,253.44,0.2140040608,0.009117761156597246
D-Alanine,261.12,0.1338411027,0.005702374070811103
D-Alanine,268.8,0.1042689305,0.004442435348184
D-Alanine,276.48,0.0997533539,0.004250046714205707
D-Alanine,284.15999999999997,0.1300681789,0.005541626569376582
D-Alanine,291.84,0.3063783896,0.013053420432644883
D-Alanine,299.52,1.4195451527,0.06048050492565217
D-Alanine,307.2,0.3316874873,0.014131728512664195
D-Alanine,314.88,0.1240392874,0.005284762318621022
D-Alanine,322.56,0.0826677891,0.003522106793394797
D-Alanine,330.24,0.0778246041,0.003315760222670218
D-Alanine,337.91999999999996,0.0899006377,0.0038302663010700306
D-Alanine,345.59999999999997,0.1285755371,0.005478031741437909
D-Alanine,353.28,0.2394601962,0.010202333859000845
D-Alanine,360.96,0.6937550386,0.029557816424111066
D-Alanine,368.64,3.9380939733,0.16778466785423005
D-Alanine,376.32,1.1528982981,0.04911986847645488
D-Alanine,384.0,0.308190578,0.013130629719890128
D-Alanine,391.68,0.1395896712,0.005947295005392445
D-Alanine,399.36,0.0816763733,0.003479866975900283
D-Alanine,407.03999999999996,0.0563316354,0.002400040425483919
D-Alanine,414.71999999999997,0.0474757103,0.0020227288474668225
D-Alanine,422.4,0.042224828,0.0017990121081964056
D-Alanine,430.08,0.0416542747,0.0017747033698619023
D-Alanine,437.76,0.0457135233,0.0019476498974730818
D-Alanine,445.44,0.0564757562,0.002406180771733356
D-Alanine,453.12,0.0855553362,0.0036451323317318015
D-Alanine,460.79999999999995,0.1463433156,0.006235037753570196
D-Alanine,468.47999999999996,0.3614239024,0.01539866489472014
D-Alanine,476.15999999999997,1.8402411554,0.07840449037627681
D-Alanine,483.84,1.310178745,0.055820888747174315
D-Alanine,491.52,0.3039563497,0.012950228085558594
D-Alanine,499.2,0.1425057214,0.006071534934040789
D-Alanine,506.88,0.097203728,0.004141418495152425
D-Alanine,514.56,0.0844916152,0.003599811911273421
D-Alanine,522.24,0.0879311693,0.0037463560125944877
D-Alanine,529.92,0.1039826393,0.004430237753553891
D-Alanine,537.6,0.147995496,0.0063054298116390845
D-Alanine,545.28,0.2565481861,0.010930377102536092
D-Alanine,552.96,0.6249659969,0.02662702132579764
D-Alanine,560.64,3.0927089031,0.131766570222707
D-Alanine,568.3199999999999,2.4123008013,0.10277740740946514
